Success,Strength,Portal_Name,Sector,Subsector,Industry,State,Security_Type,Women_Led_PIPR,Target_Raise,Total_Invested_Raised,Min_Investment,Max_Investment,Pre_Issue_Market_Cap
0,1,AngelList,Services,Education,Education K-12,NY,Equity,FALSE,"500,000",0,0,0,"3,000,000"
0,1,AngelList,Financial,Investment Services,Investment Management,CA,Convertible Debt,TRUE,"555,000","35,000",0,0,0
0,1,AngelList,Services,Retail,"Specialty Retail, Other",GA,Convertible Debt,FALSE,"500,000",0,0,0,"10,000,000"
0,1,AngelList,Services,Social Economy,Social Commerce,CA,Convertible Debt,FALSE,"350,000","100,000",0,0,"5,000,000"
0,1,AngelList,Financial,Payment Services,Mobile Payment Processing,VA,Convertible Debt,FALSE,"900,000","25,000",0,0,"3,750,000"
0,1,AngelList,Services,Professional Services,Legal Services,NY,Equity,FALSE,"50,000,000",0,0,0,"5,000,000"
0,1,AngelList,Services,Health & Fitness,General Health & Wellness,CA,Equity,TRUE,"400,000",0,0,0,0
1,1,AngelList,Technology,Technology Hardware,Motion Detection & Movement Sensing Technology,CA,Equity,FALSE,"1,000,000","1,704,500",0,0,"5,000,000"
0,1,AngelList,Services,Marketing,Event Management,CO,Convertible Debt,FALSE,"1,000,000","265,000",0,0,"3,000,000"
0,1,AngelList,Technology,Tech. Research & Development,Green Technology,TN,Equity,FALSE,"200,000",0,0,0,"1,500,000"
0,1,AngelList,Services,Real Estate Services,Real Estate Search,CA,Equity,TRUE,"400,000",0,0,0,"1,000,000"
0,1,AngelList,Technology,Computer Software,Business Software & Services,CA,Debt,FALSE,"1,500,000","50,000",0,0,0
0,1,AngelList,Services,Retail,"Specialty Retail, Other",GA,Equity,FALSE,"100,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Crowdsourcing,NY,Convertible Debt,FALSE,"800,000","605,000",0,0,"3,000,000"
0,1,AngelList,Financial,Investment Services,Investment Management,CA,Convertible Debt,FALSE,"400,000",0,0,0,"4,000,000"
0,1,AngelList,Services,Real Estate Services,"Real Estate, Other",CA,Equity,FALSE,"500,000",0,0,0,"2,000,000"
0,1,AngelList,Technology,Social Technology,Crowdsourcing,CA,Convertible Debt,FALSE,"250,000",0,0,0,"2,000,000"
0,1,AngelList,Technology,Computer Analytics,Recommendation Engine/Matching Services,MA,Equity,TRUE,"1,000,000",0,0,0,"5,000,000"
0,1,AngelList,Services,Education,Education K-12,SC,Equity,FALSE,"200,000",0,0,0,"1,500,000"
0,1,AngelList,Services,Food & Dining,Restaurants,CA,Convertible Debt,FALSE,"850,000","55,750",0,0,"7,000,000"
0,1,AngelList,Services,Social Economy,Social Commerce,NY,Equity,TRUE,"500,000",0,0,0,"4,000,000"
1,1,AngelList,Commerce & Industry,Business Services,"Business Services, General",CA,Debt,FALSE,"1,500,000","1,508,500",0,0,"10,000,000"
0,1,AngelList,Financial,Investment Services,Investment Management,CA,Convertible Debt,FALSE,"650,000","400,000",0,0,"6,500,000"
0,1,AngelList,Technology,Computer Software,Internet Software & Services,CO,Equity,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Services,General Entertainment,Sporting Activities,TX,Equity,FALSE,"82,000",0,0,0,0
0,1,AngelList,Technology,IT Services,Healthcare Information Services,CA,Equity,FALSE,"500,000",0,0,0,0
1,1,AngelList,Technology,Computer Analytics,Big Data Analytics/Management,CA,Equity,FALSE,"1,600,000","2,600,980",0,0,"5,500,000"
0,1,AngelList,Services,Security Services,Fraud Protection,CA,Debt,TRUE,"1,000,000","800,000",0,0,"8,000,000"
0,1,AngelList,Technology,Computer Software,Business Software & Services,NJ,Equity,FALSE,"750,000",0,0,0,"2,200,000"
0,1,AngelList,Commerce & Industry,Business Services,HR/Employee Management,MA,Convertible Debt,FALSE,"500,000","340,000",0,0,"4,000,000"
0,1,AngelList,Services,Marketing,"Marketing, General",IL,Equity,Unknown,"3,000",0,0,0,"550,000"
0,1,AngelList,Services,Artistic Services,Music Services,CA,Equity,FALSE,"500,000",0,0,0,"100,000,000"
0,1,AngelList,Technology,IT Services,Healthcare Information Services,CA,Debt,FALSE,"500,000",0,0,0,0
0,1,AngelList,Technology,Computer Software,App Software,NY,Convertible Debt,FALSE,"500,000",0,0,0,"3,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,NV,Equity,TRUE,"1,000,000",0,0,0,0
0,1,AngelList,Consumer Goods,Personal Goods,Footwear & Accessories,GA,Equity,TRUE,"1,000,000",0,0,0,"3,000,000"
0,1,AngelList,Technology,Computer Software,Business Software & Services,UT,Equity,FALSE,"200,000",0,0,0,"2,000,000"
0,1,AngelList,Technology,Communications,Messaging Services,DC,Equity,FALSE,"5,000,000",0,0,0,"20,000,000"
0,1,AngelList,Technology,Technology Hardware,Scientific & Technical Instruments,CA,Equity,FALSE,"625,000",0,0,0,"3,541,667"
1,1,AngelList,Services,New Media,Internet Radio,CA,Convertible Debt,TRUE,"750,000","1,555,000",0,0,"15,000,000"
0,1,AngelList,Services,Education,Education K-12,NE,Equity,TRUE,"5,000,000",0,0,0,0
0,1,AngelList,Services,Marketing,Social Media Marketing,CA,Convertible Debt,FALSE,"500,000","50,000",0,0,"5,000,000"
0,1,AngelList,Services,Real Estate Services,Real Estate Search,MA,Convertible Debt,FALSE,"500,000",0,0,0,"5,000,000"
0,1,AngelList,Commerce & Industry,Business Services,Employment & Outsourcing,HI,Equity,FALSE,"200,000",0,0,0,0
0,1,AngelList,Technology,IT Services,Information Technology Services,CA,Equity,TRUE,"1,000,000",0,0,0,"3,000,000"
0,1,AngelList,Technology,Technology Hardware,Semiconductors,WA,Convertible Debt,FALSE,"1,000,000","815,000",0,0,0
0,1,AngelList,Services,New Media,Digital Media/New Media,WI,Equity,TRUE,"250,000",0,0,0,"500,000"
0,1,AngelList,Technology,Computer Software,App Software,DC,Convertible Debt,FALSE,"225,000",0,0,0,"3,500,000"
0,1,AngelList,Technology,Computer Software,App Software,CA,Convertible Debt,FALSE,"250,000",0,0,0,"2,500,000"
0,1,AngelList,Technology,Computer Software,Business Software & Services,NY,Equity,TRUE,"500,000",0,0,0,"2,275,000"
0,1,AngelList,Technology,Computer Analytics,Computer Simulation/Modeling Services,CA,Convertible Debt,FALSE,"400,000","370,000",0,0,"10,000,000"
0,1,AngelList,Technology,Technology Hardware,"Hardware, Other",CA,Equity,TRUE,"500,000",0,0,0,"4,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,CA,Convertible Debt,FALSE,"1,200,000",0,0,0,"4,500,000"
0,1,AngelList,Services,Travel & Transportation,Travel & Tourism,FL,Equity,TRUE,"500,000",0,0,0,0
0,1,AngelList,Technology,Computer Software,Business Software & Services,CA,Convertible Debt,FALSE,"1,000,000","175,000",0,0,0
0,1,AngelList,Services,Consumer Services,Price Comparison,NJ,Equity,FALSE,"5,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,TX,Equity,FALSE,"1,000,000",0,0,0,"4,000,000"
0,1,AngelList,Technology,Computer Software,Business Software & Services,AZ,Equity,TRUE,"500,000",0,0,0,"4,000,000"
0,1,AngelList,Technology,Computer Software,Business Software & Services,TN,Equity,FALSE,"5,000,000",0,0,0,0
0,1,AngelList,Technology,IT Services,Information Technology Services,OH,Equity,FALSE,"50,000","5,000",0,0,"50,000"
0,1,AngelList,Services,Personal Services,Pet Services,CA,Equity,FALSE,"750,000",0,0,0,"2,500,000"
0,1,AngelList,Commerce & Industry,Transportation & Shipping,Shipping,CA,Equity,FALSE,"500,000",0,0,0,"2,500,000"
0,1,AngelList,Services,General Entertainment,Leisure & Recreation,CA,Equity,FALSE,"300,000",0,0,0,"1,000,000"
0,1,AngelList,Services,Consumer Services,Loyalty & Coupon Services,CA,Convertible Debt,FALSE,"400,000","331,980",0,0,"7,500,000"
0,1,AngelList,Commerce & Industry,Aerospace & Defense,Aerospace,CO,Equity,FALSE,"2,500,000",0,0,0,"10,000,000"
0,1,AngelList,Healthcare,Research & Development,Biotechnology,TX,Equity,FALSE,"3,000,000",0,0,0,0
0,1,AngelList,Services,Advertising Services,Advertising,NE,Equity,FALSE,"1,600,000",0,0,0,"6,000,000"
0,1,AngelList,Services,Consumer Services,General Consumer Services,CA,Equity,FALSE,"500,000",0,0,0,"2,000,000"
0,1,AngelList,Technology,Computer Software,Cybersecurity,CA,Equity,TRUE,"400,000","225,000",0,0,"4,249,737"
0,1,AngelList,Services,Social Economy,Social Commerce,CA,Equity,TRUE,"1,500,000","925,000",0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,NC,Equity,FALSE,"30,000",0,0,0,"1,400"
0,1,AngelList,Services,Social Economy,Social Commerce,CA,Convertible Debt,FALSE,"300,000","75,000",0,0,"3,000,000"
0,1,AngelList,Services,Retail,"Specialty Retail, Other",NJ,Equity,FALSE,"300,000",0,0,0,"1,000,000"
0,1,AngelList,Consumer Goods,Personal Goods,Clothing,CA,Equity,FALSE,"1,900",0,0,0,0
0,1,AngelList,Services,Traditional Media,Publishing,CA,Convertible Debt,FALSE,"375,000","30,000",0,0,"1,500,000"
1,1,AngelList,Technology,Social Technology,Photo Sharing,CA,Convertible Debt,FALSE,"1,000,000","1,076,000",0,0,"5,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,CA,Convertible Debt,FALSE,"750,000",0,0,0,"3,000,000"
0,1,AngelList,Services,General Entertainment,"Entertainment, Other",GA,Equity,FALSE,"100,000",0,0,0,"1,000,000"
0,1,AngelList,Technology,Social Technology,Reviews & Recommendations,CA,Convertible Debt,TRUE,"1,200,000","25,000",0,0,"4,000,000"
0,1,AngelList,Services,Education,Education K-12,NH,Equity,TRUE,"400,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,CA,Equity,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Consumer Goods,Personal Goods,Clothing,CA,Debt,TRUE,"500,000","322,000",0,0,0
0,1,AngelList,Services,Marketing,Event Management,DC,Convertible Debt,FALSE,"1,250,000","450,000",0,0,"12,500,000"
0,1,AngelList,Technology,Storage,Cloud Computing & Infrastructure,CA,Equity,FALSE,"1,000,000","142,000",0,0,"3,500,000"
0,1,AngelList,Technology,Social Technology,Crowdsourcing,CA,Equity,FALSE,"50,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,IL,Debt,FALSE,"250,000",0,0,0,0
0,1,AngelList,Healthcare,Healthcare Management,Specialized Health Services,CA,Equity,FALSE,"1,000,000",0,0,0,"6,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,FL,Equity,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Services,Advertising Services,Advertising,CA,Convertible Debt,TRUE,"500,000","25,000",0,0,"5,000,000"
